Function                                                                                                                                                CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module                    Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                            Source File            Start Address
func@0x14a40                                                                                                                                              0.012s                   0.012s                  0s                      0s  libc-dynamic.so           func@0x14a40                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x14a40      
PetscClassPerfLogEnsureSize                                                                                                                               0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscClassPerfLogEnsureSize                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x1ff440     
MatLUFactorNumeric                                                                                                                                        0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          MatLUFactorNumeric                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x8d8930     
PetscStageLogGetCurrent                                                                                                                                   0.012s                   0.012s                  0s                      0s  libpetsc.so.3.19          PetscStageLogGetCurrent                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x204300     
LinearSystem::AllocateRowMem                                                                                                                              0.010s                   0.010s                  0s                      0s  testOpenCAEPoro           LinearSystem::AllocateRowMem(unsigned int const&)                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x55fc30     
MKL_Load_Lib_Ex                                                                                                                                           0.010s                   0.010s                  0s                      0s  libmkl_core.so.2          MKL_Load_Lib_Ex                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]              0x21ca50     
MatGetFactorAvailable                                                                                                                                     0.010s                   0.010s                  0s                      0s  libpetsc.so.3.19          MatGetFactorAvailable                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x8e59d0     
dlopen                                                                                                                                                    0.010s                   0.010s                  0s                      0s  libc.so.6                 dlopen                                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x90680      
std::operator<<<std::char_traits<char>>                                                                                                                   0.010s                   0.010s                  0s                      0s  libstdc++.so.6            std::operator<<<std::char_traits<char>>(std::basic_ostream<char, std::char_traits<char>>&, char const*)                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x13ce90     
std::ostream::_M_insert<double>                                                                                                                           0.010s                   0.010s                  0s                      0s  libstdc++.so.6            std::ostream::_M_insert<double>(double)                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x13dca0     
MatDestroy_SeqBAIJ                                                                                                                                        0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          MatDestroy_SeqBAIJ                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x4ea050     
hypre_IJMatrixAssembleParCSR                                                                                                                              0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_IJMatrixAssembleParCSR                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x8f080      
HYPRE_IJMatrixSetValues                                                                                                                                   0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        HYPRE_IJMatrixSetValues                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x8a200      
hypre_PrefixSumInt                                                                                                                                        0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_PrefixSumInt                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x8a6b0      
hypre_BoomerAMGCreateS                                                                                                                                    0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGCreateS                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x211180     
PetscSetDisplay                                                                                                                                           0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscSetDisplay                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]              0x218c50     
hypre_BoomerAMGSetCycleNumSweeps                                                                                                                          0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGSetCycleNumSweeps                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x11f5b0     
func@0xe4e00                                                                                                                                              0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          func@0xe4e00                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xe4e00      
PetscSFSetUpPackFields                                                                                                                                    0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscSFSetUpPackFields                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x365ff0     
PetscLayoutReference                                                                                                                                      0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscLayoutReference                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x3d2c20     
Petsc_InnerComm_Attr_Delete_Fn                                                                                                                            0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          Petsc_InnerComm_Attr_Delete_Fn                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x1aae90     
hypre_IntArrayDestroy                                                                                                                                     0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_IntArrayDestroy                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x35da40     
hypre_ParVectorResize                                                                                                                                     0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_ParVectorResize                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x297190     
func@0xdb840                                                                                                                                              0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          func@0xdb840                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xdb840      
PMPI_Type_get_envelope                                                                                                                                    0.008s                   0.008s                  0s                      0s  libmpi.so.12              PMPI_Type_get_envelope                                                                                                                                                                                                                                                                                                                                                                                                                                     type_get_envelope.c    0x8644a0     
PetscOptionsString_Private                                                                                                                                0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscOptionsString_Private                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x16ce90     
func@0xdfc30                                                                                                                                              0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          func@0xdfc30                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xdfc30      
hypre_BoomerAMGInterpTruncation                                                                                                                           0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGInterpTruncation                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]              0x16f2b0     
PetscLayoutSetUp                                                                                                                                          0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscLayoutSetUp                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x3d2070     
VecMDot                                                                                                                                                   0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          VecMDot                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x43b7c0     
PetscLogObjCreateDefault                                                                                                                                  0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscLogObjCreateDefault                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x1ffea0     
PMPI_Wtime                                                                                                                                                0.008s                   0.008s                  0s                      0s  libmpi.so.12              PMPI_Wtime                                                                                                                                                                                                                                                                                                                                                                                                                                                 wtime.c                0x8b0130     
MatMissingDiagonal_SeqBAIJ                                                                                                                                0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          MatMissingDiagonal_SeqBAIJ                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x4e8f40     
PetscLogGetStageLog                                                                                                                                       0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscLogGetStageLog                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x204250     
func@0xd8130                                                                                                                                              0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          func@0xd8130                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xd8130      
LinearSystem::NewOffDiag                                                                                                                                  0.008s                   0.008s                  0s                      0s  testOpenCAEPoro           LinearSystem::NewOffDiag(unsigned int const&, unsigned int const&, std::vector<double, std::allocator<double>> const&)                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x5339e0     
VecHYPRE_IJVectorDestroy                                                                                                                                  0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          VecHYPRE_IJVectorDestroy                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x3d84d0     
MatAssemblyEnd                                                                                                                                            0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          MatAssemblyEnd                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x8ddec0     
hypre_GetSimpleThreadPartition                                                                                                                            0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_GetSimpleThreadPartition                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x3644a0     
MatSetType                                                                                                                                                0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          MatSetType                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x8cdb40     
VecGetArrayWrite                                                                                                                                          0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          VecGetArrayWrite                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x440190     
PetscOptionsGetViewer                                                                                                                                     0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscOptionsGetViewer                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x164c90     
hypre_BoomerAMGDestroy                                                                                                                                    0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGDestroy                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x11e000     
PetscCommGetComm                                                                                                                                          0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscCommGetComm                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x1ba000     
KSPCheckSolve                                                                                                                                             0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          KSPCheckSolve                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]              0xeff1e0     
func@0xdbd40                                                                                                                                              0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          func@0xdbd40                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xdbd40      
PetscObjectComposeFunction_Petsc                                                                                                                          0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscObjectComposeFunction_Petsc                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x1782a0     
IsoT_FIM::UpdateProperty                                                                                                                                  0.008s                   0.008s                  0s                      0s  testOpenCAEPoro           IsoT_FIM::UpdateProperty(Reservoir&, OCPControl&)                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x554360     
KSPGetPC                                                                                                                                                  0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          KSPGetPC                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0xf07fc0     
func@0xe9220                                                                                                                                              0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          func@0xe9220                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xe9220      
PetscObjectTypeCompare                                                                                                                                    0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscObjectTypeCompare                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x173a20     
__ctype_b_loc                                                                                                                                             0.008s                   0.008s                  0s                      0s  libc.so.6                 __ctype_b_loc                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]              0x3a360      
uname                                                                                                                                                     0.008s                   0.008s                  0s                      0s  libc.so.6                 uname                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0xea300      
PetscInfoSetFromOptions                                                                                                                                   0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscInfoSetFromOptions                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x1bd7a0     
MatRegisterAll                                                                                                                                            0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          MatRegisterAll                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x8ce900     
std::vector<double, std::allocator<double>>::vector                                                                                                       0.008s                   0.008s                  0s                      0s  testOpenCAEPoro           std::vector<double, std::allocator<double>>::vector(unsigned long, double const&, std::allocator<double> const&)                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x45e3a0     
MatSetOptionsPrefixFactor                                                                                                                                 0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          MatSetOptionsPrefixFactor                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x8d19a0     
PetscLayoutCreate                                                                                                                                         0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          PetscLayoutCreate                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x3d1cf0     
hypre_SeqVectorDestroy                                                                                                                                    0.008s                   0.008s                  0s                      0s  libHYPRE-2.28.0.so        hypre_SeqVectorDestroy                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x2d55e0     
DMDestroy                                                                                                                                                 0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          DMDestroy                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0xdc4b10     
OCPMixtureMethodK_OGW01::SetVarSet                                                                                                                        0.008s                   0.008s                  0s                      0s  testOpenCAEPoro           OCPMixtureMethodK_OGW01::SetVarSet(unsigned int const&, BulkVarSet const&, OCPMixtureVarSet&) const                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x4ce950     
VecScale                                                                                                                                                  0.008s                   0.008s                  0s                      0s  libpetsc.so.3.19          VecScale                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x436f80     
