SUMMARY OF RUN ./data/case1/case1.data -- 333 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	     345.000	         584	        3142	 5.84834e+03	 2.65680e+09	 2.00000e+04	 6.90000e+06	 4.62654e+04	 9.01259e+06	 1.15302e-02
	     347.000	         586	        3158	 5.85088e+03	 2.65683e+09	 2.00000e+04	 6.94000e+06	 4.75610e+04	 9.10771e+06	 1.18521e-02
	     349.000	         588	        3176	 5.85327e+03	 2.65685e+09	 2.00000e+04	 6.98000e+06	 4.87430e+04	 9.20519e+06	 1.21423e-02
	     351.000	         590	        3192	 5.85553e+03	 2.65688e+09	 2.00000e+04	 7.02000e+06	 4.98145e+04	 9.30482e+06	 1.24018e-02
	     353.000	         592	        3210	 5.85767e+03	 2.65690e+09	 2.00000e+04	 7.06000e+06	 5.07886e+04	 9.40640e+06	 1.26335e-02
	     355.000	         594	        3228	 5.85970e+03	 2.65692e+09	 2.00000e+04	 7.10000e+06	 5.16952e+04	 9.50979e+06	 1.28422e-02
	     357.000	         596	        3246	 5.86162e+03	 2.65694e+09	 2.00000e+04	 7.14000e+06	 5.25335e+04	 9.61486e+06	 1.30258e-02
	     359.000	         598	        3262	 5.86345e+03	 2.65696e+09	 2.00000e+04	 7.18000e+06	 5.32977e+04	 9.72145e+06	 1.31854e-02
	     360.000	         600	        3279	 5.86434e+03	 2.65696e+09	 2.00000e+04	 7.20000e+06	 5.36716e+04	 9.77512e+06	 1.32608e-02
	     362.000	         602	        3296	 5.86604e+03	 2.65698e+09	 2.00000e+04	 7.24000e+06	 5.44185e+04	 9.88396e+06	 1.34134e-02
	     363.200	         604	        3316	 5.86703e+03	 2.65699e+09	 2.00000e+04	 7.26400e+06	 5.48639e+04	 9.94980e+06	 1.35001e-02
